TrackID,YearMonth,train,val,test
6503,2025-04,10534,3010,1505
6503,2025-05,12779,3651,1826
6503,2025-06,12480,3566,1782
6503,2025-07,11668,3334,1667
6503,2025-08,11459,3274,1637
6503,2025-09,12071,3449,1724
6503,2025-10,12927,3693,1847
6503,2025-11,8705,2487,1244
6503,2025-12,7682,2195,1097
6507,2024-05,6063,1732,867
6507,2024-06,14651,4186,2093
6507,2024-07,15084,4310,2155
6507,2024-08,15802,4515,2258
6507,2024-09,15459,4417,2208
6507,2024-10,7949,2271,1136
6507,2024-11,7071,2020,1010
6507,2024-12,7117,2033,1017
6507,2025-01,17191,4912,2456
6507,2025-02,15993,4569,2285
6507,2025-03,16609,4745,2373
6507,2025-04,16754,4787,2394
6507,2025-05,16958,4845,2422
6507,2025-06,13845,3956,1978
6507,2025-07,15340,4383,2192
6507,2025-08,14815,4233,2117
6507,2025-09,14346,4099,2049
6507,2025-10,10608,3031,1515
6507,2025-11,11544,3298,1650
6507,2025-12,8924,2550,1274
6521,2024-05,14078,4022,2011
6521,2024-06,13826,3950,1976
6521,2024-07,13190,3769,1884
6521,2024-08,13831,3952,1976
6521,2024-09,13604,3887,1944
6521,2024-10,12753,3644,1822
6521,2024-11,13632,3895,1948
6521,2024-12,15266,4362,2180
6521,2025-01,11572,3306,1654
6521,2025-02,13591,3883,1942
6521,2025-03,14939,4268,2134
6521,2025-04,13141,3755,1877
6521,2025-05,13066,3733,1866
6521,2025-06,8856,2530,1266
6521,2025-07,12091,3455,1727
6521,2025-08,12184,3481,1740
6521,2025-09,13674,3907,1954
6521,2025-10,9392,2683,1342
6521,2025-11,15669,4477,2238
6521,2025-12,9502,2715,1357
