TrackID,YearMonth,x_idx,distance,variant
4513,2025-12,19,1.3623284101486206,with
4515,2024-05,0,0.0,with
4515,2024-06,1,0.477034330368042,with
4515,2024-07,2,0.8521297574043274,with
4515,2024-08,3,0.7931110262870789,with
4515,2024-09,4,0.12457358837127686,with
4515,2024-10,5,0.6640047430992126,with
4515,2024-11,6,1.3675161600112915,with
4515,2024-12,7,1.4420526027679443,with
4515,2025-01,8,1.2895984649658203,with
4515,2025-02,9,1.36894953250885,with
4515,2025-03,10,0.9112035036087036,with
4515,2025-04,11,0.40887150168418884,with
4515,2025-05,12,0.35148438811302185,with
4515,2025-06,13,0.6672400236129761,with
4515,2025-07,14,0.5138124227523804,with
4515,2025-08,15,0.5077359080314636,with
4515,2025-09,16,0.16601777076721191,with
4515,2025-10,17,1.0661571025848389,with
4515,2025-11,18,1.3412516117095947,with
4515,2025-12,19,1.2466589212417603,with
4517,2024-05,0,0.0,with
4517,2024-06,1,0.5064806938171387,with
4517,2024-07,2,1.113028883934021,with
4517,2024-08,3,1.121403694152832,with
4517,2024-09,4,0.8051286339759827,with
4517,2024-10,5,1.278873085975647,with
4517,2024-11,6,1.5312250852584839,with
4517,2024-12,7,1.5889694690704346,with
4517,2025-01,8,1.7498530149459839,with
4517,2025-02,9,1.8131077289581299,with
4517,2025-03,10,1.0645813941955566,with
4517,2025-04,11,1.186345100402832,with
4517,2025-05,12,1.2390135526657104,with
4517,2025-06,13,0.9201286435127258,with
4517,2025-07,14,0.854672372341156,with
4517,2025-08,15,0.845984160900116,with
4517,2025-09,16,0.7643510103225708,with
4517,2025-10,17,1.4780926704406738,with
4517,2025-11,18,1.787875771522522,with
4517,2025-12,19,1.8806182146072388,with
4519,2024-05,0,0.0,with
4519,2024-06,1,0.3700752258300781,with
4519,2024-07,2,0.9316193461418152,with
4519,2024-08,3,1.1670210361480713,with
4519,2024-09,4,0.8604484796524048,with
4519,2024-10,5,0.7825310230255127,with
4519,2024-11,6,1.4129722118377686,with
4519,2024-12,7,1.5108094215393066,with
4519,2025-01,8,1.552490472793579,with
4519,2025-02,9,1.6591284275054932,with
4519,2025-03,10,1.2448819875717163,with
4519,2025-04,11,0.7271502614021301,with
4519,2025-05,12,0.6664859652519226,with
4519,2025-06,13,0.7969310283660889,with
4519,2025-07,14,0.7437309622764587,with
4519,2025-08,15,0.7412242293357849,with
4519,2025-09,16,0.6879183053970337,with
4519,2025-10,17,0.920922577381134,with
4519,2025-11,18,1.3019860982894897,with
4519,2025-12,19,1.635123610496521,with
6503,2024-05,0,0.0,with
6503,2024-06,1,0.19390055537223816,with
6503,2024-07,2,0.4935399889945984,with
6503,2024-08,3,0.8599451184272766,with
6503,2024-09,4,0.2469174563884735,with
6503,2024-10,5,0.6844019293785095,with
6503,2024-11,6,1.3264755010604858,with
6503,2024-12,7,1.355304479598999,with
6503,2025-01,8,1.317559003829956,with
6503,2025-02,9,1.3794664144515991,with
6503,2025-03,10,0.9761035442352295,with
6503,2025-04,11,0.59709233045578,with
6503,2025-05,12,0.46987661719322205,with
6503,2025-06,13,0.5581031441688538,with
6503,2025-07,14,0.48333030939102173,with
6503,2025-08,15,0.47982218861579895,with
6503,2025-09,16,0.17608948051929474,with
6503,2025-10,17,0.8799240589141846,with
6503,2025-11,18,1.2315670251846313,with
6503,2025-12,19,1.352938175201416,with
6507,2024-05,0,0.0,with
6507,2024-06,1,0.4585741460323334,with
6507,2024-07,2,0.7516093254089355,with
6507,2024-08,3,0.6414608955383301,with
6507,2024-09,4,0.2636559307575226,with
6507,2024-10,5,0.6954666972160339,with
6507,2024-11,6,1.3408316373825073,with
6507,2024-12,7,1.4934245347976685,with
6507,2025-01,8,1.3762538433074951,with
6507,2025-02,9,1.4106366634368896,with
6507,2025-03,10,0.9229982495307922,with
6507,2025-04,11,0.6937341094017029,with
6507,2025-05,12,0.5742706060409546,with
6507,2025-06,13,0.6573224663734436,with
6507,2025-07,14,0.5423202514648438,with
6507,2025-08,15,0.5743131041526794,with
6507,2025-09,16,0.2780309021472931,with
6507,2025-10,17,0.7465077042579651,with
6507,2025-11,18,1.303017497062683,with
6507,2025-12,19,1.1984500885009766,with
6521,2024-05,0,0.0,with
6521,2024-06,1,0.42230236530303955,with
6521,2024-07,2,0.734545886516571,with
6521,2024-08,3,0.7022616863250732,with
6521,2024-09,4,0.12882119417190552,with
6521,2024-10,5,0.6501225829124451,with
6521,2024-11,6,1.1125237941741943,with
6521,2024-12,7,1.2441251277923584,with
6521,2025-01,8,1.1812140941619873,with
6521,2025-02,9,1.2544984817504883,with
6521,2025-03,10,0.8571773767471313,with
6521,2025-04,11,0.48818621039390564,with
6521,2025-05,12,0.36411210894584656,with
6521,2025-06,13,0.48236095905303955,with
6521,2025-07,14,0.6817919611930847,with
6521,2025-08,15,0.6645777225494385,with
6521,2025-09,16,0.15584997832775116,with
6521,2025-10,17,0.7471137046813965,with
6521,2025-11,18,1.0968619585037231,with
6521,2025-12,19,1.2466566562652588,with
